t,y,v
0,1,0
0.01,0.99995,-0.00998984
0.02,0.9998,-0.0199587
0.03,0.999551,-0.0299057
0.04,0.999202,-0.0398298
0.05,0.998754,-0.0497301
0.06,0.998208,-0.0596057
0.07,0.997562,-0.0694555
0.08,0.996819,-0.0792788
0.09,0.995977,-0.0890745
0.1,0.995037,-0.0988417
0.11,0.994,-0.10858
0.12,0.992866,-0.118287
0.13,0.991635,-0.127963
0.14,0.990307,-0.137608
0.15,0.988882,-0.147219
0.16,0.987362,-0.156796
0.17,0.985747,-0.166339
0.18,0.984036,-0.175845
0.19,0.98223,-0.185316
0.2,0.98033,-0.194748
0.21,0.978335,-0.204143
0.22,0.976247,-0.213498
0.23,0.974065,-0.222814
0.24,0.971791,-0.232088
0.25,0.969424,-0.241321
0.26,0.966964,-0.250511
0.27,0.964414,-0.259658
0.28,0.961771,-0.26876
0.29,0.959038,-0.277818
0.3,0.956215,-0.28683
0.31,0.953302,-0.295795
0.32,0.950299,-0.304712
0.33,0.947208,-0.313581
0.34,0.944028,-0.322402
0.35,0.94076,-0.331172
0.36,0.937405,-0.339892
0.37,0.933962,-0.34856
0.38,0.930434,-0.357177
0.39,0.926819,-0.36574
0.4,0.923119,-0.37425
0.41,0.919334,-0.382705
0.42,0.915465,-0.391106
0.43,0.911512,-0.39945
0.44,0.907476,-0.407738
0.45,0.903358,-0.415968
0.46,0.899157,-0.424141
0.47,0.894875,-0.432255
0.48,0.890512,-0.440309
0.49,0.886069,-0.448303
0.5,0.881546,-0.456237
0.51,0.876945,-0.464109
0.52,0.872264,-0.471919
0.53,0.867506,-0.479667
0.54,0.862671,-0.48735
0.55,0.85776,-0.49497
0.56,0.852772,-0.502526
0.57,0.847709,-0.510015
0.58,0.842572,-0.517439
0.59,0.837361,-0.524797
0.6,0.832076,-0.532087
0.61,0.826719,-0.53931
0.62,0.82129,-0.546464
0.63,0.81579,-0.55355
0.64,0.81022,-0.560566
0.65,0.804579,-0.567512
0.66,0.79887,-0.574387
0.67,0.793092,-0.581191
0.68,0.787246,-0.587924
0.69,0.781333,-0.594584
0.7,0.775355,-0.601172
0.71,0.76931,-0.607687
0.72,0.763201,-0.614127
0.73,0.757028,-0.620494
0.74,0.750791,-0.626786
0.75,0.744492,-0.633002
0.76,0.738132,-0.639143
0.77,0.73171,-0.645208
0.78,0.725228,-0.651197
0.79,0.718686,-0.657108
0.8,0.712086,-0.662942
0.81,0.705428,-0.668698
0.82,0.698712,-0.674375
0.83,0.69194,-0.679974
0.84,0.685113,-0.685494
0.85,0.678231,-0.690935
0.86,0.671294,-0.696295
0.87,0.664305,-0.701575
0.88,0.657263,-0.706775
0.89,0.65017,-0.711893
0.9,0.643026,-0.71693
0.91,0.635832,-0.721886
0.92,0.628588,-0.726759
0.93,0.621297,-0.73155
0.94,0.613957,-0.736259
0.95,0.606572,-0.740884
0.96,0.59914,-0.745427
0.97,0.591663,-0.749885
0.98,0.584143,-0.75426
0.99,0.576579,-0.758551
1,0.568972,-0.762758
1.01,0.561324,-0.76688
1.02,0.553635,-0.770917
1.03,0.545906,-0.774868
1.04,0.538137,-0.778735
1.05,0.530331,-0.782516
1.06,0.522487,-0.786212
1.07,0.514607,-0.789821
1.08,0.506691,-0.793344
1.09,0.498741,-0.796781
1.1,0.490756,-0.800132
1.11,0.482738,-0.803396
1.12,0.474688,-0.806573
1.13,0.466607,-0.809663
1.14,0.458495,-0.812667
1.15,0.450354,-0.815583
1.16,0.442184,-0.818411
1.17,0.433986,-0.821153
1.18,0.425761,-0.823806
1.19,0.41751,-0.826373
1.2,0.409234,-0.828851
1.21,0.400934,-0.831242
1.22,0.39261,-0.833545
1.23,0.384263,-0.83576
1.24,0.375895,-0.837887
1.25,0.367506,-0.839926
1.26,0.359096,-0.841877
1.27,0.350668,-0.843741
1.28,0.342222,-0.845516
1.29,0.333758,-0.847203
1.3,0.325278,-0.848802
1.31,0.316782,-0.850313
1.32,0.308272,-0.851737
1.33,0.299748,-0.853072
1.34,0.291211,-0.854319
1.35,0.282662,-0.855479
1.36,0.274102,-0.856551
1.37,0.265531,-0.857535
1.38,0.256951,-0.858431
1.39,0.248363,-0.85924
1.4,0.239767,-0.859961
1.41,0.231164,-0.860596
1.42,0.222555,-0.861142
1.43,0.213941,-0.861602
1.44,0.205323,-0.861975
1.45,0.196702,-0.862261
1.46,0.188079,-0.86246
1.47,0.179453,-0.862572
1.48,0.170827,-0.862599
1.49,0.162202,-0.862539
1.5,0.153577,-0.862393
1.51,0.144954,-0.862161
1.52,0.136334,-0.861843
1.53,0.127717,-0.86144
1.54,0.119105,-0.860952
1.55,0.110499,-0.860378
1.56,0.101898,-0.85972
1.57,0.0933046,-0.858978
1.58,0.0847189,-0.858151
1.59,0.0761418,-0.85724
1.6,0.0675744,-0.856245
1.61,0.0590172,-0.855166
1.62,0.0504713,-0.854004
1.63,0.0419374,-0.85276
1.64,0.0334164,-0.851432
1.65,0.0249091,-0.850022
1.66,0.0164162,-0.84853
1.67,0.00793872,-0.846957
1.68,-0.000522636,-0.845301
1.69,-0.00896704,-0.843565
1.7,-0.0173937,-0.841748
1.71,-0.0258017,-0.83985
1.72,-0.0341904,-0.837873
1.73,-0.0425589,-0.835815
1.74,-0.0509064,-0.833678
1.75,-0.0592322,-0.831462
1.76,-0.0675354,-0.829168
1.77,-0.0758153,-0.826795
1.78,-0.0840711,-0.824345
1.79,-0.0923019,-0.821817
1.8,-0.100507,-0.819211
1.81,-0.108686,-0.81653
1.82,-0.116837,-0.813772
1.83,-0.124961,-0.810938
1.84,-0.133056,-0.808029
1.85,-0.141121,-0.805045
1.86,-0.149157,-0.801986
1.87,-0.157161,-0.798854
1.88,-0.165133,-0.795648
1.89,-0.173074,-0.792369
1.9,-0.180981,-0.789017
1.91,-0.188854,-0.785593
1.92,-0.196692,-0.782098
1.93,-0.204495,-0.778531
1.94,-0.212263,-0.774894
1.95,-0.219993,-0.771187
1.96,-0.227686,-0.76741
1.97,-0.235341,-0.763563
1.98,-0.242957,-0.759649
1.99,-0.250534,-0.755666
2,-0.25807,-0.751616
2.01,-0.265566,-0.747498
2.02,-0.27302,-0.743314
2.03,-0.280432,-0.739065
2.04,-0.287801,-0.73475
2.05,-0.295127,-0.73037
2.06,-0.302408,-0.725926
2.07,-0.309645,-0.721418
2.08,-0.316836,-0.716847
2.09,-0.323982,-0.712214
